,State,Year,Quarter,Pincode,Registered_users
565,Arunanchal Pradesh,2021,1,792103,11916
566,Arunanchal Pradesh,2021,1,792001,9875
567,Arunanchal Pradesh,2021,1,790104,9066
568,Arunanchal Pradesh,2021,1,792110,8458
569,Arunanchal Pradesh,2021,1,791109,7917
570,Arunanchal Pradesh,2021,2,791110,28553
571,Arunanchal Pradesh,2021,2,791111,25349
572,Arunanchal Pradesh,2021,2,791113,18141
573,Arunanchal Pradesh,2021,2,791102,17388
574,Arunanchal Pradesh,2021,2,791001,13401
575,Arunanchal Pradesh,2021,2,792103,12890
576,Arunanchal Pradesh,2021,2,792001,10617
577,Arunanchal Pradesh,2021,2,790104,9711
578,Arunanchal Pradesh,2021,2,792110,9156
579,Arunanchal Pradesh,2021,2,791109,8470
580,Arunanchal Pradesh,2021,3,791110,30734
581,Arunanchal Pradesh,2021,3,791111,27265
582,Arunanchal Pradesh,2021,3,791113,19520
583,Arunanchal Pradesh,2021,3,791102,18855
584,Arunanchal Pradesh,2021,3,791001,14519
585,Arunanchal Pradesh,2021,3,792103,14068
586,Arunanchal Pradesh,2021,3,792001,11487
587,Arunanchal Pradesh,2021,3,790104,10467
588,Arunanchal Pradesh,2021,3,792110,9990
589,Arunanchal Pradesh,2021,3,791109,9111
590,Arunanchal Pradesh,2021,4,791110,32931
591,Arunanchal Pradesh,2021,4,791111,29128
592,Arunanchal Pradesh,2021,4,791113,20914
593,Arunanchal Pradesh,2021,4,791102,20261
594,Arunanchal Pradesh,2021,4,791001,15589
595,Arunanchal Pradesh,2021,4,792103,15154
596,Arunanchal Pradesh,2021,4,792001,12358
597,Arunanchal Pradesh,2021,4,790104,11211
598,Arunanchal Pradesh,2021,4,792110,10752
599,Arunanchal Pradesh,2021,4,791109,9729
600,Arunanchal Pradesh,2022,1,791110,34915
601,Arunanchal Pradesh,2022,1,791111,30912
602,Arunanchal Pradesh,2022,1,791113,22258
603,Arunanchal Pradesh,2022,1,791102,21601
604,Arunanchal Pradesh,2022,1,791001,16600
605,Arunanchal Pradesh,2022,1,792103,16282
606,Arunanchal Pradesh,2022,1,792001,13172
607,Arunanchal Pradesh,2022,1,790104,11905
608,Arunanchal Pradesh,2022,1,792110,11479
609,Arunanchal Pradesh,2022,1,791109,10306
610,Arunanchal Pradesh,2022,2,791110,36914
611,Arunanchal Pradesh,2022,2,791111,32620
612,Arunanchal Pradesh,2022,2,791113,23506
613,Arunanchal Pradesh,2022,2,791102,22850
614,Arunanchal Pradesh,2022,2,791001,17531
615,Arunanchal Pradesh,2022,2,792103,17259
616,Arunanchal Pradesh,2022,2,792001,13915
617,Arunanchal Pradesh,2022,2,790104,12565
618,Arunanchal Pradesh,2022,2,792110,12124
619,Arunanchal Pradesh,2022,2,791109,10908
620,Arunanchal Pradesh,2022,3,791110,39026
621,Arunanchal Pradesh,2022,3,791111,34393
622,Arunanchal Pradesh,2022,3,791113,24830
623,Arunanchal Pradesh,2022,3,791102,24093
624,Arunanchal Pradesh,2022,3,791001,18476
625,Arunanchal Pradesh,2022,3,792103,18186
626,Arunanchal Pradesh,2022,3,792001,14676
627,Arunanchal Pradesh,2022,3,790104,13227
628,Arunanchal Pradesh,2022,3,792110,12755
629,Arunanchal Pradesh,2022,3,791109,11498
