,State,Year,Quarter,Pincode,Registered_users
140,Andaman & Nicobar Island,2021,3,744103,13198
141,Andaman & Nicobar Island,2021,3,744105,11480
142,Andaman & Nicobar Island,2021,3,744101,10866
143,Andaman & Nicobar Island,2021,3,744102,7313
144,Andaman & Nicobar Island,2021,3,744202,3543
145,Andaman & Nicobar Island,2021,3,744107,3027
146,Andaman & Nicobar Island,2021,3,744104,2777
147,Andaman & Nicobar Island,2021,3,744112,2250
148,Andaman & Nicobar Island,2021,3,744211,2055
149,Andaman & Nicobar Island,2021,3,744205,1771
150,Andaman & Nicobar Island,2021,4,744103,14127
151,Andaman & Nicobar Island,2021,4,744105,12300
152,Andaman & Nicobar Island,2021,4,744101,11623
153,Andaman & Nicobar Island,2021,4,744102,7813
154,Andaman & Nicobar Island,2021,4,744202,3815
155,Andaman & Nicobar Island,2021,4,744107,3247
156,Andaman & Nicobar Island,2021,4,744104,2962
157,Andaman & Nicobar Island,2021,4,744112,2411
158,Andaman & Nicobar Island,2021,4,744211,2200
159,Andaman & Nicobar Island,2021,4,744205,1902
160,Andaman & Nicobar Island,2022,1,744103,15011
161,Andaman & Nicobar Island,2022,1,744105,13070
162,Andaman & Nicobar Island,2022,1,744101,12300
163,Andaman & Nicobar Island,2022,1,744102,8271
164,Andaman & Nicobar Island,2022,1,744202,4107
165,Andaman & Nicobar Island,2022,1,744107,3455
166,Andaman & Nicobar Island,2022,1,744104,3146
167,Andaman & Nicobar Island,2022,1,744112,2552
168,Andaman & Nicobar Island,2022,1,744211,2344
169,Andaman & Nicobar Island,2022,1,744205,2034
170,Andaman & Nicobar Island,2022,2,744103,15799
171,Andaman & Nicobar Island,2022,2,744105,13791
172,Andaman & Nicobar Island,2022,2,744101,12947
173,Andaman & Nicobar Island,2022,2,744102,8709
174,Andaman & Nicobar Island,2022,2,744202,4361
175,Andaman & Nicobar Island,2022,2,744107,3674
176,Andaman & Nicobar Island,2022,2,744104,3319
177,Andaman & Nicobar Island,2022,2,744112,2700
178,Andaman & Nicobar Island,2022,2,744211,2471
179,Andaman & Nicobar Island,2022,2,744205,2162
180,Andaman & Nicobar Island,2022,3,744103,16666
181,Andaman & Nicobar Island,2022,3,744105,14503
182,Andaman & Nicobar Island,2022,3,744101,13649
183,Andaman & Nicobar Island,2022,3,744102,9148
184,Andaman & Nicobar Island,2022,3,744202,4572
185,Andaman & Nicobar Island,2022,3,744107,3868
186,Andaman & Nicobar Island,2022,3,744104,3493
187,Andaman & Nicobar Island,2022,3,744112,2837
188,Andaman & Nicobar Island,2022,3,744211,2577
189,Andaman & Nicobar Island,2022,3,744205,2268
190,Andaman & Nicobar Island,2022,4,744103,17406
191,Andaman & Nicobar Island,2022,4,744105,15185
192,Andaman & Nicobar Island,2022,4,744101,14337
193,Andaman & Nicobar Island,2022,4,744102,9591
194,Andaman & Nicobar Island,2022,4,744202,4760
